t [s],U_a [V],U_m [V],U_g [V],I [A]
3.9463E-6,2989.7,209.03,2780.6,0.00462
3.9463E-6,2989.7,209.61,2780,0.00462
3.9464E-6,2989.7,210.2,2779.5,0.00478
3.9464E-6,2989.7,210.81,2778.9,0.00478
3.9464E-6,2989.7,211.42,2778.2,0.00478
3.9464E-6,2989.7,212.05,2777.6,0.00478
3.9465E-6,2989.7,212.69,2777,0.005025
3.9465E-6,2989.7,213.34,2776.3,0.005025
3.9465E-6,2989.7,214.02,2775.7,0.005025
3.9465E-6,2989.7,214.7,2775,0.005025
3.9466E-6,2989.7,215.41,2774.3,0.00528
3.9466E-6,2989.7,216.09,2773.6,0.00528
3.9466E-6,2989.7,216.77,2772.9,0.00528
3.9466E-6,2989.7,217.47,2772.2,0.00528
3.9467E-6,2989.7,218.17,2771.5,0.00552
3.9467E-6,2989.7,218.9,2770.8,0.00552
3.9467E-6,2989.7,219.63,2770.1,0.00552
3.9467E-6,2989.7,220.37,2769.3,0.00552
3.9468E-6,2989.7,221.14,2768.6,0.00583
3.9468E-6,2989.7,221.92,2767.8,0.00583
3.9468E-6,2989.7,222.71,2767,0.00583
3.9468E-6,2989.7,223.53,2766.2,0.00583
3.9469E-6,2989.7,224.38,2765.3,0.00598
3.9469E-6,2989.7,225.25,2764.5,0.00598
3.9469E-6,2989.7,226.12,2763.6,0.00598
3.9469E-6,2989.7,227.03,2762.7,0.00598
3.947E-6,2989.7,227.89,2761.8,0.00667
3.947E-6,2989.7,228.76,2761,0.00667
3.947E-6,2989.7,229.66,2760.1,0.00667
3.947E-6,2989.7,230.56,2759.2,0.00667
3.9471E-6,2989.7,231.49,2758.2,0.00714
3.9471E-6,2989.7,232.46,2757.3,0.00714
3.9471E-6,2989.7,233.45,2756.3,0.00714
3.9471E-6,2989.7,234.45,2755.3,0.00714
3.9472E-6,2989.7,235.49,2754.2,0.00773
3.9472E-6,2989.7,236.55,2753.2,0.00773
3.9472E-6,2989.7,237.64,2752.1,0.00773
3.9472E-6,2989.7,238.76,2751,0.00773
3.9472E-6,2989.7,239.82,2749.9,0.00773
3.9473E-6,2989.7,240.89,2748.9,0.00834
3.9473E-6,2989.7,242.01,2747.7,0.00834
3.9473E-6,2989.7,243.16,2746.6,0.00834
3.9473E-6,2989.7,244.31,2745.4,0.00834
3.9473E-6,2989.8,245.52,2744.2,0.00834
3.9474E-6,2989.8,246.75,2743,0.00867
3.9474E-6,2989.8,248.01,2741.7,0.00867
3.9474E-6,2989.8,249.32,2740.4,0.00867
3.9474E-6,2989.8,250.65,2739.1,0.00867
3.9474E-6,2989.8,252.02,2737.7,0.00867
3.9475E-6,2989.8,253.33,2736.4,0.00859
3.9475E-6,2989.8,254.66,2735.1,0.00859
3.9475E-6,2989.8,256.03,2733.7,0.00859
3.9475E-6,2989.8,257.45,2732.3,0.00859
3.9475E-6,2989.8,258.9,2730.9,0.00859
3.9476E-6,2989.8,260.41,2729.4,0.00848
3.9476E-6,2989.8,261.94,2727.8,0.00848
3.9476E-6,2989.8,263.52,2726.3,0.00848
3.9476E-6,2989.8,265.03,2724.7,0.00848
3.9476E-6,2989.8,266.56,2723.2,0.00848
3.9476E-6,2989.8,268.15,2721.6,0.00848
3.9477E-6,2989.8,269.78,2720,0.00854
3.9477E-6,2989.8,271.46,2718.3,0.00854
3.9477E-6,2989.8,273.2,2716.6,0.00854
3.9477E-6,2989.8,274.82,2715,0.00854
3.9477E-6,2989.8,276.51,2713.3,0.00854
3.9477E-6,2989.8,278.22,2711.6,0.00854
3.9477E-6,2989.8,280,2709.8,0.00854
3.9478E-6,2989.8,281.82,2708,0.00847107142857146
3.9478E-6,2989.8,283.71,2706.1,0.00847107142857146
3.9478E-6,2989.8,285.47,2704.3,0.00847107142857146
3.9478E-6,2989.8,287.29,2702.5,0.00847107142857146
3.9478E-6,2989.8,289.17,2700.6,0.00847107142857146
3.9478E-6,2989.8,290.92,2698.9,0.00847107142857146
3.9478E-6,2989.8,292.71,2697.1,0.00847107142857146
3.9479E-6,2989.8,294.55,2695.2,0.00842285714285708
3.9479E-6,2989.8,296.58,2693.2,0.00842285714285708
3.9479E-6,2989.8,298.69,2691.1,0.00842285714285708
